canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,type,units,value
O=C(Oc1cncc(Br)c1)c1ccco1,CHEMBL222234,IC50,nM,50.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,50.0
O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1,CHEMBL426898,IC50,nM,170.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,170.0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,CHEMBL187266,IC50,nM,89100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,89.1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,CHEMBL215254,IC50,nM,24800.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,24.8
COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,CHEMBL2146517,IC50,nM,21100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,21.1
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,CHEMBL187460,IC50,nM,226700.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,226.7
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,CHEMBL363535,IC50,nM,38700.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,38.7
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,CHEMBL227075,IC50,nM,14400.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,14.4
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,CHEMBL45830,IC50,nM,21100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,21.1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,CHEMBL187266,IC50,nM,1600.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,1.6
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,CHEMBL215254,IC50,nM,10700.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,10.7
COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,CHEMBL2146517,IC50,nM,9200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,9.2
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,CHEMBL187460,IC50,nM,800.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.8
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,CHEMBL363535,IC50,nM,8800.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,8.8
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,CHEMBL227075,IC50,nM,4900.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,4.9
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,CHEMBL45830,IC50,nM,30000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,30.0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,CHEMBL215254,IC50,nM,52000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,52.0
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,CHEMBL187460,IC50,nM,87600.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,87.6
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,CHEMBL363535,IC50,nM,700.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.7
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,CHEMBL227075,IC50,nM,1200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,1.2
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,CHEMBL45830,IC50,nM,60200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,60.2
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,CHEMBL187266,IC50,nM,17100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,17.1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,CHEMBL215254,IC50,nM,18000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,18.0
COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,CHEMBL2146517,IC50,nM,10600.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,10.6
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,CHEMBL187460,IC50,nM,10100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,10.1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,CHEMBL363535,IC50,nM,11500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,11.5
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,CHEMBL227075,IC50,nM,10700.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,10.7
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,CHEMBL45830,IC50,nM,78900.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,78.9
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,CHEMBL194398,IC50,nM,870000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,870.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL393608,IC50,nM,200000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,200.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL238216,IC50,nM,300000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,300.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL235873,IC50,nM,15000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,15.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL397154,IC50,nM,10000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,10.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL238217,IC50,nM,80000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,80.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL196635,IC50,nM,800000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,800.0
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,CHEMBL492571,IC50,nM,5400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,5.4
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,CHEMBL522710,IC50,nM,11000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,11.0
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,CHEMBL492771,IC50,nM,13600.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,13.6
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,CHEMBL492771,IC50,nM,24400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,24.4
O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,CHEMBL492772,IC50,nM,28700.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,28.7
O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,CHEMBL492768,IC50,nM,39900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,39.9
O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,CHEMBL492768,IC50,nM,41300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,41.3
O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,CHEMBL492769,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,CHEMBL492770,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,CHEMBL499444,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,CHEMBL492772,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,CHEMBL492571,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,CHEMBL522710,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,CHEMBL492769,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,CHEMBL492770,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,CHEMBL499444,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=C(Oc1cccnc1)c1cccs1,CHEMBL221366,IC50,nM,500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,0.5
CCN1/C(=C\C=C\c2sc3ccc(-c4nc5ccccc5s4)cc3[n+]2CC)Sc2ccc(-c3nc4ccccc4s3)cc21.[Cl-],CHEMBL541163,IC50,nM,2500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,2.5
CCN1C(c2ccccc2)=C(c2ccccc2)S/C1=C/C=C/c1sc2c3ccccc3ccc2[n+]1CC.[Cl-],CHEMBL540403,IC50,nM,3800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,3.8
C(\C1=C2Sc3ccccc3N2CC1)=C1/CC[n+]2c1sc1ccccc12,CHEMBL518593,IC50,nM,10500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,10.5
CCN1/C(=C\C=C\C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)C2)Sc2ccccc21,CHEMBL478119,IC50,nM,2000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,2.0
CCC(=C\c1sc2cc(C)c(C)cc2[n+]1CC)/C=C1/Sc2cc(/C=C/c3ccccc3)ccc2N1CC.[Cl-],CHEMBL558828,IC50,nM,6600.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,6.6
CCN1/C(=C\C=c2/s/c(=C\c3sc4ccccc4[n+]3CC)n(CC)c2=O)Sc2ccccc21,CHEMBL478987,IC50,nM,10000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,10.0
CCC(=C\c1sc2c3ccccc3ccc2[n+]1CC)/C=C1/Sc2cc(C)c(C)cc2N1CC,CHEMBL479172,IC50,nM,5400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,5.4
CCN1/C(=C\C(=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])OC)Sc2ccc(OC)cc21,CHEMBL515787,IC50,nM,7300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,7.3
O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,CHEMBL549646,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,CHEMBL549646,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,CHEMBL560136,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,CHEMBL560136,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,CHEMBL560392,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,CHEMBL560392,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,IC50,nM,8100.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,8.1
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,CHEMBL556501,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,CHEMBL556501,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL550256,IC50,nM,20900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,20.9
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL550256,IC50,nM,4100.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,4.1
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL551130,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL551130,IC50,nM,5200.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,5.2
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,CHEMBL551131,IC50,nM,25400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,25.4
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,CHEMBL551131,IC50,nM,2700.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,2.7
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL551334,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL551334,IC50,nM,9300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,9.3
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL560933,IC50,nM,50000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,50.0
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL560933,IC50,nM,15400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,15.4
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,CHEMBL551529,IC50,nM,42900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,42.9
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,CHEMBL551529,IC50,nM,8100.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,8.1
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHEMBL1448,IC50,nM,40000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,40.0
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,CHEMBL301982,IC50,nM,10300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,10.3
COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,CHEMBL54804,IC50,nM,5500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,5.5
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,CHEMBL432519,IC50,nM,9900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,9.9
CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,CHEMBL1092796,IC50,nM,2600.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,2.6
Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,CHEMBL1092797,IC50,nM,21700.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,21.7
COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL116438,IC50,nM,23500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,23.5
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,CHEMBL1277944,IC50,nM,18000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,18.0
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,CHEMBL1278125,IC50,nM,13900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,13.9
COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,CHEMBL1276871,IC50,nM,12000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,12.0
N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,CHEMBL1277046,IC50,nM,5500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,5.5
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,CHEMBL1277047,IC50,nM,42000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,42.0
O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,CHEMBL1277135,IC50,nM,10800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,10.8
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,CHEMBL1277136,IC50,nM,24300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,24.3
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,CHEMBL1277227,IC50,nM,6800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,6.8
O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,CHEMBL1277228,IC50,nM,8400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,8.4
CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,CHEMBL197310,IC50,nM,220800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,220.8
CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,CHEMBL1277661,IC50,nM,233400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,233.4
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CHEMBL197308,IC50,nM,49600.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,49.6
CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,CHEMBL1277662,IC50,nM,163200.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,163.2
CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,CHEMBL1277754,IC50,nM,128900.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,128.9
COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,CHEMBL12798,IC50,nM,207000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,207.0
C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]23C)C1,CHEMBL512164,IC50,nM,283500.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,283.5
C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,CHEMBL1277840,IC50,nM,137700.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,137.7
O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,CHEMBL63354,IC50,nM,8300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,8.3
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,CHEMBL378188,IC50,nM,72300.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,72.3
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,CHEMBL377324,IC50,nM,32000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,32.0
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,CHEMBL208908,IC50,nM,38400.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,38.4
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL28,IC50,nM,280800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,280.8
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL151,IC50,nM,20000.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,20.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,IC50,nM,23800.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,23.8
CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,CHEMBL71893,IC50,nM,189100.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,189.1
Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,CHEMBL1774322,IC50,nM,58350.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,58.35
COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,CHEMBL1774323,IC50,nM,62790.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,62.79
Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,CHEMBL1774324,IC50,nM,101380.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,101.38
COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,CHEMBL1774325,IC50,nM,77090.0,CHEMBL5118,SARS coronavirus,Replicase polyprotein 1ab,IC50,uM,77.09
